Date,Close,High,Low,Open,Repaired?,Volume,Returns,Log_Returns,MA_7,MA_7_ratio,MA_21,MA_21_ratio,MA_50,MA_50_ratio,MA_200,MA_200_ratio,EMA_12,EMA_26,Volatility_7,Volatility_21,Volatility_30,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,DayOfWeek,Month,Quarter,DayOfMonth,WeekOfYear,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_7,Volume_Lag_7,Close_Lag_14,Volume_Lag_14,Close_Lag_21,Volume_Lag_21,Close_Lag_30,Volume_Lag_30,Close_Diff_1,Close_Diff_7,Volume_MA_7,Volume_MA_21,Volume_Ratio,High_Low_Range,High_Low_Ratio
2021-01-04,8.304657936096191,8.382218000300666,8.195499753362657,8.22997052774037,False,74719700,,,,,,,,,,,8.304657936096191,8.304657936096191,,,,,0.0,0.0,0.0,,,,,,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,0.18671824693800865,1.0227830214821734
2021-01-05,8.62925910949707,8.669475187114545,8.112192671444154,8.301783534359334,False,95181100,0.039086639798853184,0.03834209631988929,,,,,,,,,8.354596578157865,8.32870246745922,,,,,0.02589411069864589,0.005178822139729178,0.02071528855891671,,,,,,1,1,1,5,1,8.304657936096191,74719700.0,,,,,,,,,,,,,,,0.3246011734008789,,,,,0.5572825156703907,1.0686969033208604
2021-01-06,8.64649486541748,8.876301815846634,8.632131588576291,8.66373024972392,False,96562500,0.0019973621954914034,0.0019953701197781806,,,,,,,,,8.399504006967037,8.352242645085758,,,,,0.047261361881279385,0.013595330088039221,0.03366603179324017,,,,,,2,1,1,6,1,8.62925910949707,95181100.0,8.304657936096191,74719700.0,,,,,,,,,,,,,0.017235755920410156,,,,,0.24417022727034343,1.0282862030965187
2021-01-07,8.905029296875,8.948118038730875,8.71543839438668,8.71543839438668,False,56171300,0.02990048979171367,0.029462185721613576,,,,,,,,,8.47727712849134,8.393189804477554,,,,,0.08408732401378494,0.027693728873188363,0.056393595140596574,,,,,,3,1,1,7,1,8.64649486541748,96562500.0,8.62925910949707,95181100.0,8.304657936096191,74719700.0,,,,,,,,,,,0.25853443145751953,,,,,0.23267964434419497,1.026697411399759
2021-01-08,8.939498901367188,9.123344456841112,8.718309374998263,9.03716644178548,False,67136300,0.0038708019191227017,0.0038633296416377685,,,,,,,,,8.548388170472238,8.433657144987897,,,,,0.11473102548434078,0.04510118819541885,0.06962983728892193,,,,,,4,1,1,8,1,8.905029296875,56171300.0,8.64649486541748,96562500.0,8.62925910949707,95181100.0,,,,,,,,,,,0.0344696044921875,,,,,0.40503508184284875,1.0464579845037822
2021-01-11,8.864811897277832,8.922263361938166,8.732672487543372,8.79299715552517,False,48744700,-0.008354719309594971,-0.008389815593407322,,,,,,,,,8.597068743826945,8.465594534046412,,,,,0.13147420978053326,0.062375792512441734,0.06909841726809152,,,,,,0,1,1,11,2,8.939498901367188,67136300.0,8.905029296875,56171300.0,8.64649486541748,96562500.0,8.304657936096191,74719700.0,,,,,,,,,-0.07468700408935547,,,,,0.18959087439479383,1.0217105215688822
2021-01-12,8.798742294311523,9.065893232707696,8.798742294311523,8.939499676314062,False,65691900,-0.007453018037144932,-0.007480930550869357,8.726927757263184,1.0082290743141045,,,,,,,8.628095443901495,8.490272145917901,,,,,0.13782329798359427,0.07746529360667224,0.06035800437692203,,,,,,1,1,1,12,2,8.864811897277832,48744700.0,8.939498901367188,67136300.0,8.905029296875,56171300.0,8.62925910949707,95181100.0,,,,,,,,,-0.0660696029663086,,72029642.85714285,,0.9120120188612824,0.2671509383961723,1.030362400609106
2021-01-13,8.373600006103516,8.864813196598703,8.330511264316973,8.813106487293622,False,93826600,-0.04831852939741932,-0.04952488988156696,8.736776624407087,0.9584312803318102,,,,,,,8.588942299624883,8.48162976519091,0.028531741929827065,,,,0.10731253443397293,0.08343474177213239,0.023877792661840536,,,,,,2,1,1,13,2,8.798742294311523,65691900.0,8.864811897277832,48744700.0,8.939498901367188,67136300.0,8.64649486541748,96562500.0,8.304657936096191,74719700.0,,,,,,,-0.4251422882080078,0.06894207000732422,74759200.0,,1.2550508833695384,0.5343019322817302,1.0641379520810885
2021-01-14,8.45977783203125,8.522974615255805,8.250078344066514,8.379345114188402,False,50745400,0.010291610044057542,0.01023901199665542,8.71256501334054,0.9709859058816517,,,,,,,8.569070843072016,8.48001110347538,0.023917679675957496,,,,0.08905973959663527,0.08455974133703296,0.004499998259602303,,,,,,3,1,1,14,2,8.373600006103516,93826600.0,8.798742294311523,65691900.0,8.864811897277832,48744700.0,8.905029296875,56171300.0,8.62925910949707,95181100.0,,,,,,,0.08617782592773438,-0.1694812774658203,68411242.85714285,,0.7417698887004163,0.27289627118929083,1.0330780217845517
2021-01-15,8.077722549438477,8.353490900101743,8.05186919807592,8.344872933679888,False,80673300,-0.04516138487067567,-0.04621294217510084,8.631311825343541,0.9358626721978,,,,,,,8.493478797897625,8.450211951324498,0.02859710603988328,,,,0.04326684657312718,0.0763011623842518,-0.03303431581112462,,,,,,4,1,1,15,2,8.45977783203125,50745400.0,8.373600006103516,93826600.0,8.798742294311523,65691900.0,8.939498901367188,67136300.0,8.64649486541748,96562500.0,,,,,,,-0.38205528259277344,-0.5687723159790039,66141357.14285714,,1.2197103822008923,0.30162170202582317,1.0374598362946457
