Date,Close,High,Low,Open,Volume,Returns,Log_Returns,MA_7,MA_7_ratio,MA_21,MA_21_ratio,MA_50,MA_50_ratio,MA_200,MA_200_ratio,EMA_12,EMA_26,Volatility_7,Volatility_21,Volatility_30,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,DayOfWeek,Month,Quarter,DayOfMonth,WeekOfYear,Close_Lag_1,Volume_Lag_1,Close_Lag_2,Volume_Lag_2,Close_Lag_3,Volume_Lag_3,Close_Lag_5,Volume_Lag_5,Close_Lag_7,Volume_Lag_7,Close_Lag_14,Volume_Lag_14,Close_Lag_21,Volume_Lag_21,Close_Lag_30,Volume_Lag_30,Close_Diff_1,Close_Diff_7,Volume_MA_7,Volume_MA_21,Volume_Ratio,High_Low_Range,High_Low_Ratio
2021-01-04,5.343520641326904,5.524755705095101,5.325981332538873,5.477985330087383,3147800,,,,,,,,,,,5.343520641326904,5.343520641326904,,,,,0.0,0.0,0.0,,,,,,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,0.19877437255622787,1.0373216427443752
2021-01-05,5.255825519561768,5.390290759461176,5.115514401225116,5.390290759461176,820900,-0.016411487416535975,-0.01654764765963695,,,,,,,,,5.330029084132267,5.337024706381339,,,,,-0.006995622249071687,-0.0013991244498143375,-0.005596497799257349,,,,,,1,1,1,5,1,5.343520641326904,3147800.0,,,,,,,,,,,,,,,-0.08769512176513672,,,,,0.2747763582360596,1.0537143162318638
2021-01-06,5.021974086761475,5.349366724317559,5.021974086761475,5.349366724317559,902400,-0.04449375876918216,-0.045513983422757115,,,,,,,,,5.282636007613683,5.313687623446534,,,,,-0.0310516158328511,-0.007329622726421689,-0.02372199310642941,,,,,,2,1,1,6,1,5.255825519561768,820900.0,5.343520641326904,3147800.0,,,,,,,,,,,,,-0.23385143280029297,,,,,0.32739263755608405,1.0651920204883434
2021-01-07,4.98105001449585,5.17982383182984,4.922586766279063,5.062897892943123,681300,-0.008149001081766971,-0.008182385682214131,,,,,,,,,5.236238162518632,5.289047800561298,,,,,-0.052809638042666585,-0.01642562578967067,-0.036384012252995916,,,,,,3,1,1,7,1,5.021974086761475,902400.0,5.255825519561768,820900.0,5.343520641326904,3147800.0,,,,,,,,,,,-0.040924072265625,,,,,0.2572370655507772,1.0522564817572977
2021-01-08,5.109669208526611,5.191517659578448,4.934279989156652,5.068745261774172,591800,0.025821702985606265,0.02549395288083278,,,,,,,,,5.216766015750628,5.275760497447617,,,,,-0.058994481696989176,-0.02493939697113437,-0.034055084725854806,,,,,,4,1,1,8,1,4.98105001449585,681300.0,5.021974086761475,902400.0,5.255825519561768,820900.0,,,,,,,,,,,0.12861919403076172,,,,,0.25723767042179624,1.0521327672906868
2021-01-11,4.91089391708374,5.191516729299678,4.893355165553638,5.074590789854228,760400,-0.0389017925291858,-0.039678682235467735,,,,,,,,,5.169708769801876,5.24873334334659,,,,,-0.07902457354471348,-0.035756432285850195,-0.04326814125886329,,,,,,0,1,1,11,2,5.109669208526611,591800.0,4.98105001449585,681300.0,5.021974086761475,902400.0,5.343520641326904,3147800.0,,,,,,,,,-0.1987752914428711,,,,,0.2981615637460395,1.060931927820184
2021-01-12,5.086283206939697,5.086283206939697,4.916740451959936,4.957664392199126,825100,0.03571433079542263,0.03509136333788411,5.1013166563851495,0.9970530256288569,,,,,,,5.15687406782308,5.2366999999090424,,,,,-0.07982593208596267,-0.04457033224587269,-0.03525559984008998,,,,,,1,1,1,12,2,4.91089391708374,760400.0,5.109669208526611,591800.0,4.98105001449585,681300.0,5.255825519561768,820900.0,,,,,,,,,0.17538928985595703,,1104242.857142857,,0.7472088179360131,0.16954275497976123,1.0344827547104256
2021-01-13,5.191516876220703,5.191516876220703,4.963510869689315,5.115514874043574,491400,0.020689699137756534,0.020478574417693095,5.0796018327985495,1.0220322472323575,,,,,,,5.162203730653483,5.233353101858055,0.031897090265217594,,,,-0.07114937120457121,-0.049886140037612395,-0.021263231166958815,,,,,,2,1,1,13,2,5.086283206939697,825100.0,4.91089391708374,760400.0,5.109669208526611,591800.0,5.021974086761475,902400.0,5.343520641326904,3147800.0,,,,,,,0.10523366928100586,-0.15200376510620117,724757.1428571428,,0.6780202235231506,0.22800600653138847,1.0459364374366042
2021-01-14,5.302597522735596,5.343522029660335,5.0745920247201655,5.191517992618718,848000,0.02139656851038807,0.021170875631468997,5.0862835475376675,1.0425288864012798,,,,,,,5.183802775589193,5.238482318219354,0.032574944239906714,,,,-0.05467954263016139,-0.0508448205561222,-0.00383472207403919,,,,,,3,1,1,14,2,5.191516876220703,491400.0,5.086283206939697,825100.0,4.91089391708374,760400.0,4.98105001449585,681300.0,5.255825519561768,820900.0,,,,,,,0.11108064651489258,0.046772003173828125,728628.5714285715,,1.163830287820563,0.2689300049401693,1.052995394236643
2021-01-15,5.12136173248291,5.302596819296385,5.0102816595548525,5.302596819296385,1323100,-0.03417868119833967,-0.0347764320633301,5.100481782640729,1.004093721089887,,,,,,,5.174196461265149,5.229806719275914,0.030288761378400884,,,,-0.05561025801076536,-0.05179790804705084,-0.0038123499637145175,,,,,,4,1,1,15,2,5.302597522735596,848000.0,5.191516876220703,491400.0,5.086283206939697,825100.0,5.109669208526611,591800.0,5.021974086761475,902400.0,,,,,,,-0.18123579025268555,0.09938764572143555,788728.5714285715,,1.6775099165021463,0.2923151597415323,1.0583430592537793
